*	* |
trừu	TRI ƯN_4 UC_4 |
quở	KI UN_2 ƠC_2 |
khêu	KHI ÊN_0 UC_0 |
vánh	VI AN1_5 NGC_5 |
xoan	XI WO_0 AN2_0 NC_0 |
mống	MI ÔN_5 NGC_5 |
ới	ƠN_5 IC_5 |
xầm	XI ÂN_4 MC_4 |
tễ	TI ÊN_3 |
lạo	LI AN2_1 UC_1 |
nhong	NHI ON1_0 NGC_0 |
xẹp	XI EN_1 PC_1 |
thênh	THI ÊN_0 NGC_0 |
nịch	NI IN_1 KC_1 |
cữu	KI ƯN_3 UC_3 |
nòi	NI ON2_4 IC_4 |
lòn	LI ON2_4 NC_4 |
nguậy	NGI WO_1 ÂN_1 YC_1 |
vểnh	VI ÊN_2 NGC_2 |
chệ	CHI ÊN_1 |
phệt	PHI ÊN_1 TC_1 |
tiễu	TI IÊN_3 UC_3 |
nhón	NHI ON2_5 NC_5 |
lị	LI IN_1 |
rat	RI AN2_0 TC_0 |
luỵ	LI UN_1 YC_1 |
kền	KI ÊN_4 NC_4 |
ợp	ƠN_1 PC_1 |
ghờ	GI ƠC_4 |
thia	THI IAN_0 |
gơn	GI ƠN_0 NC_0 |
xòa	XI WO_4 AN2_4 |
hóm	HI ON2_5 MC_5 |
kệch	KI ÊN_1 KC_1 |
toáng	TI WO_5 AN1_5 NGC_5 |
đớp	DI ƠN_5 PC_5 |
mơn	MI ƠN_0 NC_0 |
gon	GI ON2_0 NC_0 |
lũi	LI UN_3 IC_3 |
núc	NI UN_5 KC_5 |
lụi	LI UN_1 IC_1 |
tửng	TI ƯN_2 NGC_2 |
nhỉnh	NHI IN_2 NGC_2 |
cốm	KI ÔN_5 MC_5 |
chọt	CHI ON2_1 TC_1 |
nành	NI AN1_4 NGC_4 |
luyên	LI WO_0 YÊN_0 NC_0 |
chụm	CHI UN_1 MC_1 |
xệ	XI ÊN_1 |
sứa	SI ƯƠN_5 |
dẫy	ZI ÂN_3 YC_3 |
dấm	ZI ÂN_5 MC_5 |
sướt	SI ƯƠN_5 TC_5 |
chớm	CHI ƠN_5 MC_5 |
bấc	BI ÂN_5 KC_5 |
lể	LI ÊN_2 |
chấu	CHI ÂN_5 UC_5 |
đỉa	DI IAN_2 |
thộp	THI ÔN_1 PC_1 |
sờn	SI ƠN_4 NC_4 |
vè	VI EN_4 |
toẹt	TI WO_1 EN_1 TC_1 |
chễm	CHI ÊN_3 MC_3 |
sột	SI ÔN_1 TC_1 |
dáo	ZI AN2_5 UC_5 |
nhữ	NHI ƯC_3 |
điếng	DI IÊN_5 NGC_5 |
coong	KI WO_0 ON1_0 NGC_0 |
ón	ON2_5 NC_5 |
dứ	ZI ƯC_5 |
nùng	NI UN_4 NGC_4 |
túa	TI UÔN_5 |
độp	DI ÔN_1 PC_1 |
quặng	KI WO_1 AN3_1 NGC_1 |
dẹt	ZI EN_1 TC_1 |
dua	ZI UÔN_0 |
ngạ	NGI AN2_1 |
khun	KHI UN_0 NC_0 |
ac	AN1_0 KC_0 |
ku	KI UN_0 |
góep	GI WO_5 EN_5 PC_5 |
míc	MI IN_5 KC_5 |
toóc	TI WO_5 ON1_5 KC_5 |
víc	VI IN_5 KC_5 |
rép	RI EN_5 PC_5 |
uôn	UÔN_0 NC_0 |
ket	KI EN_0 TC_0 |
ich	IN_0 KC_0 |
giàng	ZI AN1_4 NGC_4 |
sùm	SI UN_4 MC_4 |
rứa	RI ƯƠN_5 |
xở	XI ƠC_2 |
kháo	KHI AN2_5 UC_5 |
hỉnh	HI IN_2 NGC_2 |
sến	SI ÊN_5 NC_5 |
pham	PHI AN2_0 MC_0 |
doc	ZI ON1_0 KC_0 |
chỉn	CHI IN_2 NC_2 |
gym	GI IN_0 MC_0 |
khoắn	KHI WO_5 AN3_5 NC_5 |
mứt	MI ƯN_5 TC_5 |
nái	NI AN2_5 IC_5 |
làu	LI AN3_4 UC_4 |
sên	SI ÊN_0 NC_0 |
kếch	KI ÊN_5 KC_5 |
ghiền	GI IÊN_4 NC_4 |
tuồn	TI UÔN_4 NC_4 |
vựa	VI ƯƠN_1 |
trảng	TRI AN1_2 NGC_2 |
khuây	KHI WO_0 ÂN_0 YC_0 |
ừng	ƯN_4 NGC_4 |
ồi	ÔN_4 IC_4 |
thìn	THI IN_4 NC_4 |
nhom	NHI ON2_0 MC_0 |
thượt	THI ƯƠN_1 TC_1 |
sỗ	SI ÔN_3 |
bễ	BI ÊN_3 |
lớt	LI ƠN_5 TC_5 |
bện	BI ÊN_1 NC_1 |
ràn	RI AN2_4 NC_4 |
rọ	RI ON2_1 |
dể	ZI ÊN_2 |
toác	TI WO_5 AN1_5 KC_5 |
nhỏm	NHI ON2_2 MC_2 |
giắc	ZI AN3_5 KC_5 |
thồ	THI ÔN_4 |
luy	LI UN_0 YC_0 |
duẩn	ZI WO_2 ÂN_2 NC_2 |
gét	GI EN_5 TC_5 |
hop	HI ON2_0 PC_0 |
ngợp	NGI ƠN_1 PC_1 |
thá	THI AN2_5 |
ngoáy	NGI WO_5 AN3_5 YC_5 |
đằm	DI AN3_4 MC_4 |
răm	RI AN3_0 MC_0 |
trớn	TRI ƠN_5 NC_5 |
diết	ZI IÊN_5 TC_5 |
xum	XI UN_0 MC_0 |
trằn	TRI AN3_4 NC_4 |
xìu	XI IN_4 UC_4 |
đốp	DI ÔN_5 PC_5 |
thọt	THI ON2_1 TC_1 |
lõa	LI WO_3 AN2_3 |
gỉ	ZI |
tọt	TI ON2_1 TC_1 |
mic	MI IN_0 KC_0 |
nhèm	NHI EN_4 MC_4 |
sịt	SI IN_1 TC_1 |
nhãng	NHI AN1_3 NGC_3 |
côm	KI ÔN_0 MC_0 |
gạn	GI AN2_1 NC_1 |
cuông	KI UÔN_0 NGC_0 |
phiện	PHI IÊN_1 NC_1 |
rữa	RI ƯƠN_3 |
quăn	KI WO_0 AN3_0 NC_0 |
dũa	ZI UÔN_3 |
nhộng	NHI ÔN_1 NGC_1 |
mỏm	MI ON2_2 MC_2 |
ết	ÊN_5 TC_5 |
th	THI |
liệm	LI IÊN_1 MC_1 |
dĩnh	ZI IN_3 NGC_3 |
trư	TRI ƯC_0 |
tòan	TI WO_4 AN2_4 NC_4 |
cun	KI UN_0 NC_0 |
chỏi	CHI ON2_2 IC_2 |
vằng	VI AN3_4 NGC_4 |
vợi	VI ƠN_1 IC_1 |
loá	LI WO_5 AN2_5 |
cuội	KI UÔN_1 IC_1 |
đoá	DI WO_5 AN2_5 |
bụp	BI UN_1 PC_1 |
lốm	LI ÔN_5 MC_5 |
viển	VI IÊN_2 NC_2 |
cùm	KI UN_4 MC_4 |
lềnh	LI ÊN_4 NGC_4 |
nhat	NHI AN2_0 TC_0 |
khứu	KHI ƯN_5 UC_5 |
tụm	TI UN_1 MC_1 |
xeo	XI EN_0 UC_0 |
duong	ZI WO_0 ON1_0 NGC_0 |
tạch	TI AN1_1 KC_1 |
goi	GI ON2_0 IC_0 |
gép	GI EN_5 PC_5 |
dia	ZI IAN_0 |
sua	SI UÔN_0 |
rươi	RI ƯƠN_0 IC_0 |
léc	LI EN_5 KC_5 |
phuong	PHI WO_0 ON1_0 NGC_0 |
khac	KHI AN1_0 KC_0 |
xoăn	XI WO_0 AN3_0 NC_0 |
khứa	KHI ƯƠN_5 |
ruốc	RI UÔN_5 KC_5 |
ém	EN_5 MC_5 |
chôm	CHI ÔN_0 MC_0 |
nhây	NHI ÂN_0 YC_0 |
nhòe	NHI WO_4 EN_4 |
đớt	DI ƠN_5 TC_5 |
cỏn	KI ON2_2 NC_2 |
háng	HI AN1_5 NGC_5 |
ngò	NGI ON2_4 |
chun	CHI UN_0 NC_0 |
đận	DI ÂN_1 NC_1 |
trụy	TRI UN_1 YC_1 |
thút	THI UN_5 TC_5 |
xửa	XI ƯƠN_2 |
nhễ	NHI ÊN_3 |
cắc	KI AN3_5 KC_5 |
rắp	RI AN3_5 PC_5 |
xẩm	XI ÂN_2 MC_2 |
chơn	CHI ƠN_0 NC_0 |
láu	LI AN3_5 UC_5 |
toe	TI WO_0 EN_0 |
thiến	THI IÊN_5 NC_5 |
hóp	HI ON2_5 PC_5 |
khều	KHI ÊN_4 UC_4 |
cứa	KI ƯƠN_5 |
trứ	TRI ƯC_5 |
nhổm	NHI ÔN_2 MC_2 |
trập	TRI ÂN_1 PC_1 |
trôn	TRI ÔN_0 NC_0 |
ghịt	GI IN_1 TC_1 |
thườn	THI ƯƠN_4 NC_4 |
sè	SI EN_4 |
sằng	SI AN3_4 NGC_4 |
mủi	MI UN_2 IC_2 |
cạ	KI AN2_1 |
gành	GI AN1_4 NGC_4 |
triện	TRI IÊN_1 NC_1 |
thết	THI ÊN_5 TC_5 |
tời	TI ƠN_4 IC_4 |
luỹ	LI UN_3 YC_3 |
hong	HI ON1_0 NGC_0 |
hể	HI ÊN_2 |
vựng	VI ƯN_1 NGC_1 |
bat	BI AN2_0 TC_0 |
lym	LI IN_0 MC_0 |
ruy	RI UN_0 YC_0 |
éc	EN_5 KC_5 |
ring	RI IN_0 NGC_0 |
xit	XI IN_0 TC_0 |
giêm	ZI ÊN_0 MC_0 |
ngoe	NGI WO_0 EN_0 |
hổm	HI ÔN_2 MC_2 |
tâu	TI ÂN_0 UC_0 |
kiếng	KI IÊN_5 NGC_5 |
mũm	MI UN_3 MC_3 |
trui	TRI UN_0 IC_0 |
dả	ZI AN2_2 |
tộ	TI ÔN_1 |
gỏng	GI ON1_2 NGC_2 |
khập	KHI ÂN_1 PC_1 |
sủi	SI UN_2 IC_2 |
hàu	HI AN3_4 UC_4 |
ghì	GI IN_4 |
trê	TRI ÊN_0 |
lưa	LI ƯƠN_0 |
bớp	BI ƠN_5 PC_5 |
bươm	BI ƯƠN_0 MC_0 |
nằng	NI AN3_4 NGC_4 |
sạo	SI AN2_1 UC_1 |
khạc	KHI AN1_1 KC_1 |
cũi	KI UN_3 IC_3 |
sụa	SI UÔN_1 |
chum	CHI UN_0 MC_0 |
ươn	ƯƠN_0 NC_0 |
tun	TI UN_0 NC_0 |
hoắt	HI WO_5 AN3_5 TC_5 |
nhiếc	NHI IÊN_5 KC_5 |
ré	RI EN_5 |
trủy	TRI UN_2 YC_2 |
nhuốc	NHI UÔN_5 KC_5 |
khoeo	KHI WO_0 EN_0 UC_0 |
giội	ZI ÔN_1 IC_1 |
thểu	THI ÊN_2 UC_2 |
dỏng	ZI ON1_2 NGC_2 |
rụa	RI UÔN_1 |
rịn	RI IN_1 NC_1 |
phạc	PHI AN1_1 KC_1 |
ngỗ	NGI ÔN_3 |
khặc	KHI AN3_1 KC_1 |
soảng	SI WO_2 AN1_2 NGC_2 |
ngưởng	NGI ƯƠN_2 NGC_2 |
rún	RI UN_5 NC_5 |
nhướn	NHI ƯƠN_5 NC_5 |
gườm	GI ƯƠN_4 MC_4 |
gọng	GI ON1_1 NGC_1 |
xoè	XI WO_4 EN_4 |
ài	AN2_4 IC_4 |
bụm	BI UN_1 MC_1 |
chạng	CHI AN1_1 NGC_1 |
bủn	BI UN_2 NC_2 |
lỵ	LI IN_1 |
sậy	SI ÂN_1 YC_1 |
mia	MI IAN_0 |
niết	NI IÊN_5 TC_5 |
đết	DI ÊN_5 TC_5 |
giầu	ZI ÂN_4 UC_4 |
dêm	ZI ÊN_0 MC_0 |
bũng	BI UN_3 NGC_3 |
guýt	GI WO_5 IN_5 TC_5 |
uôi	UÔN_0 IC_0 |
bam	BI AN2_0 MC_0 |
cừn	KI ƯN_4 NC_4 |
ríc	RI IN_5 KC_5 |
tựt	TI ƯN_1 TC_1 |
vit	VI IN_0 TC_0 |
sat	SI AN2_0 TC_0 |
sìn	SI IN_4 NC_4 |
huyn	HI WO_0 IN_0 NC_0 |
huong	HI WO_0 ON1_0 NGC_0 |
truoc	TRI WO_0 ON1_0 KC_0 |
ợ	ƠC_1 |
nải	NI AN2_2 IC_2 |
ron	RI ON2_0 NC_0 |
mùn	MI UN_4 NC_4 |
lú	LI UN_5 |
nhởn	NHI ƠN_2 NC_2 |
lụng	LI UN_1 NGC_1 |
nhản	NHI AN2_2 NC_2 |
sàm	SI AN2_4 MC_4 |
quẻ	KI WO_2 EN_2 |
thằn	THI AN3_4 NC_4 |
cún	KI UN_5 NC_5 |
tuộc	TI UÔN_1 KC_1 |
lòm	LI ON2_4 MC_4 |
mớm	MI ƠN_5 MC_5 |
mão	MI AN2_3 UC_3 |
gấc	GI ÂN_5 KC_5 |
gẩy	GI ÂN_2 YC_2 |
sợt	SI ƠN_1 TC_1 |
hẹ	HI EN_1 |
loăng	LI WO_0 AN3_0 NGC_0 |
phơn	PHI ƠN_0 NC_0 |
hòang	HI WO_4 AN1_4 NGC_4 |
đễnh	DI ÊN_3 NGC_3 |
trùn	TRI UN_4 NC_4 |
lúm	LI UN_5 MC_5 |
nư	NI ƯC_0 |
rảng	RI AN1_2 NGC_2 |
chóe	CHI WO_5 EN_5 |
hn	HI NC_0 |
thếch	THI ÊN_5 KC_5 |
rơn	RI ƠN_0 NC_0 |
thin	THI IN_0 NC_0 |
rỏ	RI ON2_2 |
oằn	WO_4 AN3_4 NC_4 |
khoải	KHI WO_2 AN2_2 IC_2 |
ình	IN_4 NGC_4 |
rủn	RI UN_2 NC_2 |
điạ	DI IAN_1 |
rọc	RI ON1_1 KC_1 |
vỉ	VI IN_2 |
nứa	NI ƯƠN_5 |
tuong	TI WO_0 ON1_0 NGC_0 |
hập	HI ÂN_1 PC_1 |
tom	TI ON2_0 MC_0 |
diếc	ZI IÊN_5 KC_5 |
cap	KI AN2_0 PC_0 |
khèn	KHI EN_4 NC_4 |
bim	BI IN_0 MC_0 |
lợ	LI ƠC_1 |
cham	CHI AN2_0 MC_0 |
gioóc	ZI WO_5 ON1_5 KC_5 |
goep	GI WO_0 EN_0 PC_0 |
gióp	ZI ON2_5 PC_5 |
him	HI IN_0 MC_0 |
goan	GI WO_0 AN2_0 NC_0 |
ề	ÊN_4 |
nh	NHI |
đoái	DI WO_5 AN2_5 IC_5 |
bòn	BI ON2_4 NC_4 |
trẽn	TRI EN_3 NC_3 |
sú	SI UN_5 |
quánh	KI UÔN_5 NGC_5 |
thy	THI IN_0 |
nhảnh	NHI AN1_2 NGC_2 |
sẩm	SI ÂN_2 MC_2 |
gàn	GI AN2_4 NC_4 |
phùn	PHI UN_4 NC_4 |
beng	BI EN_0 NGC_0 |
đừ	DI ƯC_4 |
xàm	XI AN2_4 MC_4 |
cụng	KI UN_1 NGC_1 |
chểnh	CHI ÊN_2 NGC_2 |
nịt	NI IN_1 TC_1 |
nạng	NI AN1_1 NGC_1 |
khoằm	KHI WO_4 AN3_4 MC_4 |
nhổn	NHI ÔN_2 NC_2 |
phấp	PHI ÂN_5 PC_5 |
ẻo	EN_2 UC_2 |
quẫy	KI WO_3 ÂN_3 YC_3 |
nhạ	NHI AN2_1 |
dỏm	ZI ON2_2 MC_2 |
guồng	GI UÔN_4 NGC_4 |
rợ	RI ƠC_1 |
vàm	VI AN2_4 MC_4 |
phau	PHI AN3_0 UC_0 |
mèm	MI EN_4 MC_4 |
lém	LI EN_5 MC_5 |
xuê	XI WO_0 ÊN_0 |
rớm	RI ƠN_5 MC_5 |
ử	ƯC_2 |
xoẹt	XI WO_1 EN_1 TC_1 |
rạt	RI AN2_1 TC_1 |
quờ	KI UN_4 ƠC_4 |
dến	ZI ÊN_5 NC_5 |
đọan	DI WO_1 AN2_1 NC_1 |
khạo	KHI AN2_1 UC_1 |
sụ	SI UN_1 |
xụp	XI UN_1 PC_1 |
lồm	LI ÔN_4 MC_4 |
dúm	ZI UN_5 MC_5 |
qủy	KI UN_2 YC_2 |
nghểnh	NGI ÊN_2 NGC_2 |
thủa	THI UÔN_2 |
bôm	BI ÔN_0 MC_0 |
doa	ZI WO_0 AN2_0 |
sất	SI ÂN_5 TC_5 |
hươ	HI ƯN_0 ƠC_0 |
oà	WO_4 AN2_4 |
chã	CHI AN2_3 |
vốc	VI ÔN_5 KC_5 |
teng	TI EN_0 NGC_0 |
quệt	KI WO_1 ÊN_1 TC_1 |
rướn	RI ƯƠN_5 NC_5 |
ngấp	NGI ÂN_5 PC_5 |
ụ	UN_1 |
quào	KI UÔN_4 UC_4 |
sửu	SI ƯN_2 UC_2 |
bõ	BI ON2_3 |
từm	TI ƯN_4 MC_4 |
chên	CHI ÊN_0 NC_0 |
met	MI EN_0 TC_0 |
đót	DI ON2_5 TC_5 |
dếch	ZI ÊN_5 KC_5 |
khoi	KHI ON2_0 IC_0 |
đén	DI EN_5 NC_5 |
giẽ	ZI EN_3 |
nuoc	NI WO_0 ON1_0 KC_0 |
sui	SI UN_0 IC_0 |
ậm	ÂN_1 MC_1 |
dền	ZI ÊN_4 NC_4 |
ỉu	IN_2 UC_2 |
cườm	KI ƯƠN_4 MC_4 |
chúm	CHI UN_5 MC_5 |
tẩn	TI ÂN_2 NC_2 |
ngẩm	NGI ÂN_2 MC_2 |
lài	LI AN2_4 IC_4 |
khoắt	KHI WO_5 AN3_5 TC_5 |
bõm	BI ON2_3 MC_3 |
oách	WO_5 AN1_5 KC_5 |
nhặng	NHI AN3_1 NGC_1 |
gổ	GI ÔN_2 |
lức	LI ƯN_5 KC_5 |
nạm	NI AN2_1 MC_1 |
xuyết	XI WO_5 YÊN_5 TC_5 |
xốn	XI ÔN_5 NC_5 |
mướp	MI ƯƠN_5 PC_5 |
nguýt	NGI WO_5 IN_5 TC_5 |
thùa	THI UÔN_4 |
thoai	THI WO_0 AN2_0 IC_0 |
chườm	CHI ƯƠN_4 MC_4 |
vối	VI ÔN_5 IC_5 |
xoàn	XI WO_4 AN2_4 NC_4 |
guộc	GI UÔN_1 KC_1 |
lé	LI EN_5 |
xoi	XI ON2_0 IC_0 |
tray	TRI AN3_0 YC_0 |
gẫu	GI ÂN_3 UC_3 |
quỵt	KI WO_1 IN_1 TC_1 |
gùi	GI UN_4 IC_4 |
chẹt	CHI EN_1 TC_1 |
đở	DI ƠC_2 |
choắt	CHI WO_5 AN3_5 TC_5 |
mư	MI ƯC_0 |
giực	ZI ƯN_1 KC_1 |
muốt	MI UÔN_5 TC_5 |
nhiêm	NHI IÊN_0 MC_0 |
vẻo	VI EN_2 UC_2 |
rày	RI AN3_4 YC_4 |
dun	ZI UN_0 NC_0 |
rí	RI IN_5 |
ngỏm	NGI ON2_2 MC_2 |
nấn	NI ÂN_5 NC_5 |
bải	BI AN2_2 IC_2 |
đễ	DI ÊN_3 |
đệt	DI ÊN_1 TC_1 |
tiêng	TI IÊN_0 NGC_0 |
chuỷ	CHI UN_2 YC_2 |
khúm	KHI UN_5 MC_5 |
lới	LI ƠN_5 IC_5 |
xẵng	XI AN3_3 NGC_3 |
muon	MI WO_0 ON2_0 NC_0 |
xè	XI EN_4 |
ay	AN3_0 YC_0 |
đũng	DI UN_3 NGC_3 |
chiện	CHI IÊN_1 NC_1 |
tuếch	TI WO_5 ÊN_5 KC_5 |
bủng	BI UN_2 NGC_2 |
phat	PHI AN2_0 TC_0 |
lọai	LI WO_1 AN2_1 IC_1 |
kai	KI AN2_0 IC_0 |
ngoèo	NGI WO_4 EN_4 UC_4 |
hịch	HI IN_1 KC_1 |
đù	DI UN_4 |
gá	GI AN2_5 |
giớ	ZI ƠC_5 |
by	BI IN_0 |
cíu	KI IN_5 UC_5 |
èn	EN_4 NC_4 |
sựt	SI ƯN_1 TC_1 |
bíc	BI IN_5 KC_5 |
dóp	ZI ON2_5 PC_5 |
díc	ZI IN_5 KC_5 |
uyn	WO_0 IN_0 NC_0 |
gíc	ZI KC_5 |
bơn	BI ƠN_0 NC_0 |
goăn	GI WO_0 AN3_0 NC_0 |
truây	TRI WO_0 ÂN_0 YC_0 |
háp	HI AN2_5 PC_5 |
roét	RI WO_5 EN_5 TC_5 |
luc	LI UN_0 KC_0 |
tich	TI IN_0 KC_0 |
gết	GI ÊN_5 TC_5 |
moong	MI WO_0 ON1_0 NGC_0 |
luong	LI WO_0 ON1_0 NGC_0 |
đồm	DI ÔN_4 MC_4 |
ráy	RI AN3_5 YC_5 |
tíu	TI IN_5 UC_5 |
tệp	TI ÊN_1 PC_1 |
ngụp	NGI UN_1 PC_1 |
mề	MI ÊN_4 |
phạch	PHI AN1_1 KC_1 |
lúi	LI UN_5 IC_5 |
húi	HI UN_5 IC_5 |
nhàu	NHI AN3_4 UC_4 |
xắp	XI AN3_5 PC_5 |
chũng	CHI UN_3 NGC_3 |
quẫn	KI WO_3 ÂN_3 NC_3 |
khiễng	KHI IÊN_3 NGC_3 |
cui	KI UN_0 IC_0 |
cùn	KI UN_4 NC_4 |
suyễn	SI WO_3 YÊN_3 NC_3 |
bươn	BI ƯƠN_0 NC_0 |
vảng	VI AN1_2 NGC_2 |
kẻng	KI EN_2 NGC_2 |
oăm	WO_0 AN3_0 MC_0 |
ruồng	RI UÔN_4 NGC_4 |
heng	HI EN_0 NGC_0 |
bửa	BI ƯƠN_2 |
rám	RI AN2_5 MC_5 |
xốt	XI ÔN_5 TC_5 |
nậu	NI ÂN_1 UC_1 |
xăn	XI AN3_0 NC_0 |
xúy	XI UN_5 YC_5 |
hõm	HI ON2_3 MC_3 |
dem	ZI EN_0 MC_0 |
háu	HI AN3_5 UC_5 |
chời	CHI ƠN_4 IC_4 |
dá	ZI AN2_5 |
gằng	GI AN3_4 NGC_4 |
trơi	TRI ƠN_0 IC_0 |
rười	RI ƯƠN_4 IC_4 |
cụp	KI UN_1 PC_1 |
vức	VI ƯN_5 KC_5 |
mọp	MI ON2_1 PC_1 |
cảo	KI AN2_2 UC_2 |
ngaỵ	NGI AN3_1 YC_1 |
gằm	GI AN3_4 MC_4 |
chom	CHI ON2_0 MC_0 |
cức	KI ƯN_5 KC_5 |
nhóng	NHI ON1_5 NGC_5 |
ụp	UN_1 PC_1 |
oẹ	WO_1 EN_1 |
tuỷ	TI UN_2 YC_2 |
xiểng	XI IÊN_2 NGC_2 |
nhay	NHI AN3_0 YC_0 |
múp	MI UN_5 PC_5 |
loè	LI WO_4 EN_4 |
ngáng	NGI AN1_5 NGC_5 |
coóc	KI WO_5 ON1_5 KC_5 |
tréo	TRI EN_5 UC_5 |
qúa	KI UÔN_5 |
xời	XI ƠN_4 IC_4 |
cỗi	KI ÔN_3 IC_3 |
cửi	KI ƯN_2 IC_2 |
lọat	LI WO_1 AN2_1 TC_1 |
hoắm	HI WO_5 AN3_5 MC_5 |
nọng	NI ON1_1 NGC_1 |
sớ	SI ƠC_5 |
eng	EN_0 NGC_0 |
chiển	CHI IÊN_2 NC_2 |
dớn	ZI ƠN_5 NC_5 |
nột	NI ÔN_1 TC_1 |
phum	PHI UN_0 MC_0 |
nớ	NI ƠC_5 |
gic	ZI KC_0 |
sy	SI IN_0 |
gít	ZI TC_5 |
mợt	MI ƠN_1 TC_1 |
goe	GI WO_0 EN_0 |
sép	SI EN_5 PC_5 |
đíp	DI IN_5 PC_5 |
nầm	NI ÂN_4 MC_4 |
dới	ZI ƠN_5 IC_5 |
ing	IN_0 NGC_0 |
dat	ZI AN2_0 TC_0 |
nhum	NHI UN_0 MC_0 |
thuong	THI WO_0 ON1_0 NGC_0 |
tap	TI AN2_0 PC_0 |
bc	BI KC_0 |
giạng	ZI AN1_1 NGC_1 |
riềng	RI IÊN_4 NGC_4 |
cọt	KI ON2_1 TC_1 |
viêng	VI IÊN_0 NGC_0 |
xức	XI ƯN_5 KC_5 |
trẹo	TRI EN_1 UC_1 |
hầy	HI ÂN_4 YC_4 |
bọng	BI ON1_1 NGC_1 |
kiềng	KI IÊN_4 NGC_4 |
xồ	XI ÔN_4 |
ầy	ÂN_4 YC_4 |
cón	KI ON2_5 NC_5 |
ghém	GI EN_5 MC_5 |
nẹp	NI EN_1 PC_1 |
ngan	NGI AN2_0 NC_0 |
ngái	NGI AN2_5 IC_5 |
nhách	NHI AN1_5 KC_5 |
ọe	WO_1 EN_1 |
khù	KHI UN_4 |
ngấy	NGI ÂN_5 YC_5 |
mú	MI UN_5 |
tèo	TI EN_4 UC_4 |
ghẹ	GI EN_1 |
tĩu	TI IN_3 UC_3 |
mac	MI AN1_0 KC_0 |
kháu	KHI AN3_5 UC_5 |
góa	GI WO_5 AN2_5 |
dồ	ZI ÔN_4 |
rộp	RI ÔN_1 PC_1 |
ngóp	NGI ON2_5 PC_5 |
chêm	CHI ÊN_0 MC_0 |
bẹ	BI EN_1 |
diếp	ZI IÊN_5 PC_5 |
dận	ZI ÂN_1 NC_1 |
dềnh	ZI ÊN_4 NGC_4 |
nghĩnh	NGI IN_3 NGC_3 |
quệ	KI WO_1 ÊN_1 |
xính	XI IN_5 NGC_5 |
khui	KHI UN_0 IC_0 |
doóc	ZI WO_5 ON1_5 KC_5 |
hòan	HI WO_4 AN2_4 NC_4 |
xỉnh	XI IN_2 NGC_2 |
húy	HI UN_5 YC_5 |
ya	YAN_0 |
khảng	KHI AN1_2 NGC_2 |
sền	SI ÊN_4 NC_4 |
hỏang	HI WO_2 AN1_2 NGC_2 |
triêu	TRI IÊN_0 UC_0 |
tợp	TI ƠN_1 PC_1 |
phưởng	PHI ƯƠN_2 NGC_2 |
ròn	RI ON2_4 NC_4 |
lựng	LI ƯN_1 NGC_1 |
rận	RI ÂN_1 NC_1 |
chím	CHI IN_5 MC_5 |
thiềm	THI IÊN_4 MC_4 |
ọc	ON1_1 KC_1 |
huênh	HI WO_0 ÊN_0 NGC_0 |
choảng	CHI WO_2 AN1_2 NGC_2 |
nhảu	NHI AN3_2 UC_2 |
đạ	DI AN2_1 |
ngọai	NGI WO_1 AN2_1 IC_1 |
lỏm	LI ON2_2 MC_2 |
thuỳ	THI UN_4 YC_4 |
lọn	LI ON2_1 NC_1 |
vạng	VI AN1_1 NGC_1 |
bép	BI EN_5 PC_5 |
phụp	PHI UN_1 PC_1 |
thẻo	THI EN_2 UC_2 |
xuông	XI UÔN_0 NGC_0 |
cáy	KI AN3_5 YC_5 |
dúng	ZI UN_5 NGC_5 |
đc	DI KC_0 |
táy	TI AN3_5 YC_5 |
ngoét	NGI WO_5 EN_5 TC_5 |
diểm	ZI IÊN_2 MC_2 |
tực	TI ƯN_1 KC_1 |
gía	ZI AN2_5 |
duật	ZI WO_1 ÂN_1 TC_1 |
trĩnh	TRI IN_3 NGC_3 |
nuột	NI UÔN_1 TC_1 |
xúp	XI UN_5 PC_5 |
thày	THI AN3_4 YC_4 |
bac	BI AN1_0 KC_0 |
set	SI EN_0 TC_0 |
nic	NI IN_0 KC_0 |
uầy	WO_4 ÂN_4 YC_4 |
lìn	LI IN_4 NC_4 |
trym	TRI IN_0 MC_0 |
rap	RI AN2_0 PC_0 |
gap	GI AN2_0 PC_0 |
ghem	GI EN_0 MC_0 |
nghàn	NGI AN2_4 NC_4 |
quép	KI WO_5 EN_5 PC_5 |
vừn	VI ƯN_4 NC_4 |
vơn	VI ƠN_0 NC_0 |
dam	ZI AN2_0 MC_0 |
troét	TRI WO_5 EN_5 TC_5 |
vat	VI AN2_0 TC_0 |
tớt	TI ƠN_5 TC_5 |
doong	ZI WO_0 ON1_0 NGC_0 |
duê	ZI WO_0 ÊN_0 |
dich	ZI IN_0 KC_0 |
mém	MI EN_5 MC_5 |
luon	LI WO_0 ON2_0 NC_0 |
ghoép	GI WO_5 EN_5 PC_5 |
ghia	GI IAN_0 |
hĩu	HI IN_3 UC_3 |
ngiệp	NGI IÊN_1 PC_1 |
tac	TI AN1_0 KC_0 |
tit	TI IN_0 TC_0 |
truân	TRI WO_0 ÂN_0 NC_0 |
nguẩy	NGI WO_2 ÂN_2 YC_2 |
trển	TRI ÊN_2 NC_2 |
ừa	ƯƠN_4 |
khênh	KHI ÊN_0 NGC_0 |
quằn	KI WO_4 AN3_4 NC_4 |
mẹt	MI EN_1 TC_1 |
